Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Advisory,8/25/2025,8:10 AM,8/25/2025,9:00 AM,,,,
ASM,8/25/2025,9:00 AM,8/25/2025,9:30 AM,,,,
A1,8/25/2025,10:30 AM,8/25/2025,11:00 AM,,,,
A2,8/25/2025,11:00 AM,8/25/2025,11:30 AM,,,,
A3,8/25/2025,11:30 AM,8/25/2025,12:00 PM,,,,
A4,8/25/2025,12:00 PM,8/25/2025,12:30 PM,,,,
A5,8/25/2025,12:30 PM,8/25/2025,1:00 PM,,,,
A6,8/25/2025,1:00 PM,8/25/2025,1:30 PM,,,,
A7,8/25/2025,1:30 PM,8/25/2025,2:00 PM,,,,
A8,8/25/2025,2:00 PM,8/25/2025,2:30 PM,,,,
A1,8/26/2025,8:10 AM,8/26/2025,8:55 AM,,,,
A2,8/26/2025,8:55 AM,8/26/2025,9:40 AM,,,,
Advisory,8/26/2025,9:40 AM,8/26/2025,10:00 AM,,,,
A3,8/26/2025,10:00 AM,8/26/2025,10:45 AM,,,,
A4,8/26/2025,10:45 AM,8/26/2025,11:30 AM,,,,
A5,8/26/2025,11:30 AM,8/26/2025,12:15 PM,,,,
A6,8/26/2025,12:15 PM,8/26/2025,1:00 PM,,,,
A7,8/26/2025,1:00 PM,8/26/2025,1:45 PM,,,,
A8,8/26/2025,1:45 PM,8/26/2025,2:30 PM,,,,
B1,8/27/2025,8:10 AM,8/27/2025,8:55 AM,,,,
B2,8/27/2025,8:55 AM,8/27/2025,9:40 AM,,,,
Morning Meeting,8/27/2025,9:40 AM,8/27/2025,10:00 AM,,,,
B3,8/27/2025,10:00 AM,8/27/2025,10:45 AM,,,,
B4,8/27/2025,10:45 AM,8/27/2025,11:30 AM,,,,
B5,8/27/2025,11:30 AM,8/27/2025,12:15 PM,,,,
B6,8/27/2025,12:15 PM,8/27/2025,1:00 PM,,,,
Break,8/27/2025,1:00 PM,8/27/2025,1:30 PM,,,,
B7,8/27/2025,1:30 PM,8/27/2025,2:15 PM,,,,
B8,8/27/2025,2:15 PM,8/27/2025,3:00 PM,,,,
C1,8/28/2025,8:10 AM,8/28/2025,8:55 AM,,,,
C2,8/28/2025,8:55 AM,8/28/2025,9:40 AM,,,,
Advisory,8/28/2025,9:40 AM,8/28/2025,10:00 AM,,,,
C3,8/28/2025,10:00 AM,8/28/2025,10:45 AM,,,,
C4,8/28/2025,10:45 AM,8/28/2025,11:30 AM,,,,
C5,8/28/2025,11:30 AM,8/28/2025,12:15 PM,,,,
C6,8/28/2025,12:15 PM,8/28/2025,1:00 PM,,,,
Break,8/28/2025,1:00 PM,8/28/2025,1:30 PM,,,,
C7,8/28/2025,1:30 PM,8/28/2025,2:15 PM,,,,
C8,8/28/2025,2:15 PM,8/28/2025,3:00 PM,,,,
D1,8/29/2025,8:40 AM,8/29/2025,9:25 AM,,,,
D2,8/29/2025,9:25 AM,8/29/2025,10:10 AM,,,,
Morning Meeting,8/29/2025,10:10 AM,8/29/2025,10:30 AM,,,,
D3,8/29/2025,10:30 AM,8/29/2025,11:15 AM,,,,
D4,8/29/2025,11:15 AM,8/29/2025,12:00 PM,,,,
D5,8/29/2025,12:00 PM,8/29/2025,12:45 PM,,,,
D6,8/29/2025,12:45 PM,8/29/2025,1:30 PM,,,,
D7,8/29/2025,1:30 PM,8/29/2025,2:15 PM,,,,
D8,8/29/2025,2:15 PM,8/29/2025,3:00 PM,,,,
E1,9/2/2025,8:10 AM,9/2/2025,8:55 AM,,,,
E2,9/2/2025,8:55 AM,9/2/2025,9:40 AM,,,,
Advisory,9/2/2025,9:40 AM,9/2/2025,10:00 AM,,,,
